              t                       Ixx                      Iyy                      Izz           
    4.449996968833525e+00     3.759190975337157e+44     3.759191067379361e+44     4.185078267601826e+44
    4.459999060040188e+00     3.750368430828537e+44     3.750368522955061e+44     4.182268378387590e+44
    4.469998801185347e+00     3.741604323665419e+44     3.741604416368797e+44     4.179422146243253e+44
    4.479998891144771e+00     3.732896505028936e+44     3.732896597128439e+44     4.176539668637480e+44
    4.489997764730930e+00     3.724246689027064e+44     3.724246781969312e+44     4.173621855828355e+44
    4.499997194373876e+00     3.715654225480211e+44     3.715654318387795e+44     4.170668013059977e+44
    4.509999974971902e+00     3.707118248792832e+44     3.707118342043916e+44     4.167676432823669e+44
    4.519998235921351e+00     3.698647210787123e+44     3.698647304018467e+44     4.164647259987671e+44
    4.529998308959921e+00     3.690237696975140e+44     3.690237789957471e+44     4.161575842438073e+44
    4.539996954856413e+00     3.681894065340938e+44     3.681894159067031e+44     4.158460794402168e+44
    4.549999874201430e+00     3.673612783744264e+44     3.673612877353278e+44     4.155298630429105e+44
    4.559997659728471e+00     3.665402687118084e+44     3.665402781829850e+44     4.152091077166336e+44
    4.569997059517551e+00     3.657259459685037e+44     3.657259553847345e+44     4.148834368390584e+44
    4.579999011547128e+00     3.649184031345789e+44     3.649184125955974e+44     4.145527055871946e+44
    4.589999967455508e+00     3.641180706074191e+44     3.641180800492775e+44     4.142169977974582e+44
    4.599999175244124e+00     3.633251652235323e+44     3.633251746865776e+44     4.138763600641613e+44
    4.609998966789810e+00     3.625396158824500e+44     3.625396253515516e+44     4.135307100252886e+44
    4.619996548458640e+00     3.617617842442890e+44     3.617617937725176e+44     4.131802501738028e+44
    4.629999501531501e+00     3.609911746971273e+44     3.609911842339325e+44     4.128248049952939e+44
    4.639999932945056e+00     3.602285258914848e+44     3.602285354712125e+44     4.124648031081695e+44
    4.649996421735715e+00     3.594740945080054e+44     3.594741040590168e+44     4.121004478581764e+44
    4.659996702168100e+00     3.587274487650625e+44     3.587274583347577e+44     4.117315865327679e+44
    4.669997919562840e+00     3.579889875160055e+44     3.579889971116681e+44     4.113584903866287e+44
    4.679997881264740e+00     3.572590730505749e+44     3.572590826634258e+44     4.109814766294414e+44
    4.689999476961814e+00     3.565376853315423e+44     3.565376949466069e+44     4.106006642959453e+44
    4.699996915874894e+00     3.558254243396553e+44     3.558254339543125e+44     4.102164826629160e+44
    4.709999753356747e+00     3.551217747803176e+44     3.551217843895645e+44     4.098287645162974e+44
    4.719996126453223e+00     3.544277174138035e+44     3.544277270929518e+44     4.094381796459220e+44
    4.729997649814578e+00     3.537425719138624e+44     3.537425815619248e+44     4.090445018862655e+44
    4.739996635586158e+00     3.530669949674376e+44     3.530670046474357e+44     4.086482851020595e+44
