t,BToroidal_v_avg
10.050,     1.063907659638236e+17
10.100,     1.101455883027279e+17
10.150,     1.135413718292802e+17
10.200,     1.165639374071349e+17
10.250,     1.192608817918494e+17
10.300,     1.217184475429993e+17
10.350,     1.240401955696423e+17
10.400,     1.263073512871497e+17
10.450,     1.285639585885866e+17
10.500,     1.308047975817653e+17
10.550,     1.329643833933685e+17
10.600,     1.349535181691039e+17
10.650,     1.366965010343895e+17
10.700,     1.381374947356071e+17
10.750,     1.392250229294824e+17
10.800,     1.399347035395186e+17
10.850,     1.402705059742127e+17
10.900,     1.402425597714496e+17
10.950,     1.398673182564517e+17
11.000,     1.391808446161748e+17
11.050,     1.382541266623103e+17
11.100,     1.371796881492056e+17
11.150,     1.360768449983421e+17
11.200,     1.350581817681380e+17
11.250,     1.341492949073418e+17
11.300,     1.332793864409196e+17
11.350,     1.323431888782852e+17
11.400,     1.312476947050504e+17
11.450,     1.299291989952700e+17
11.500,     1.283609453243527e+17
11.550,     1.265583344023140e+17
11.600,     1.245749412008941e+17
11.650,     1.224844590742583e+17
11.700,     1.203384332421826e+17
11.750,     1.181330375314976e+17
11.800,     1.158293683728382e+17
11.850,     1.134006365372917e+17
11.900,     1.108322451495999e+17
11.950,     1.081023247897702e+17
12.000,     1.051849751204022e+17
12.050,     1.020613196350122e+17
12.100,     9.871479054505696e+16
12.150,     9.514853672235357e+16
12.200,     9.140808324538523e+16
12.250,     8.757824109840858e+16
12.300,     8.377593129407731e+16
12.350,     8.013308775014117e+16
12.400,     7.678108749628768e+16
12.450,     7.383631366041720e+16
12.500,     7.139084545287755e+16
12.500,     7.139084545287755e+16
12.550,     6.951728300261343e+16
12.600,     6.827244639449925e+16
12.650,     6.769761122965075e+16
12.700,     6.781075321383542e+16
12.750,     6.860351586712526e+16
12.800,     7.004474503797271e+16
12.850,     7.205382104973205e+16
12.900,     7.449137036838470e+16
12.950,     7.719399860843843e+16
13.000,     8.001016111311176e+16
13.050,     8.282780461620459e+16
13.100,     8.557728451528328e+16
13.150,     8.821289157607166e+16
13.250,     9.302133567926430e+16
13.300,     9.514405657881538e+16
13.350,     9.710464020628270e+16
13.400,     9.895881865162368e+16
13.450,     1.007473190375285e+17
13.500,     1.024881834880691e+17
13.550,     1.041765674077586e+17
13.600,     1.057799698900617e+17
13.650,     1.072513901400090e+17
13.700,     1.085632126361670e+17
13.750,     1.097141031016824e+17
13.800,     1.107160391211846e+17
13.850,     1.115851210626772e+17
13.900,     1.123333327199244e+17
13.950,     1.129633981789963e+17
14.000,     1.134671817162070e+17
14.050,     1.138316351627596e+17
14.100,     1.140466016176014e+17
14.150,     1.141025999631381e+17
14.200,     1.139860707060481e+17
14.250,     1.136851649729146e+17
14.300,     1.131963266316103e+17
14.350,     1.125267643987306e+17
14.400,     1.116978366221074e+17
14.450,     1.107465485421684e+17
14.500,     1.097180881918014e+17
14.550,     1.086512372587999e+17
14.600,     1.075570517225867e+17
14.650,     1.064139562799590e+17
14.700,     1.051862192800281e+17
14.750,     1.038374419762619e+17
14.800,     1.023337137376556e+17
14.850,     1.006417696393200e+17
14.900,     9.872831520916565e+16
14.950,     9.656680104980690e+16
15.000,     9.414711097931978e+16
15.050,     9.147750141461938e+16
15.100,     8.858291391561144e+16
15.150,     8.550432234725248e+16
15.200,     8.230043406705587e+16
15.250,     7.904058050762365e+16
15.300,     7.580454216768174e+16
15.350,     7.268494757494101e+16
15.400,     6.977945364716467e+16
15.450,     6.719097026483902e+16
15.500,     6.501330102132690e+16
15.550,     6.331128779033878e+16
15.600,     6.210758800815298e+16
15.650,     6.138460696541926e+16
15.700,     6.109502966164088e+16
15.750,     6.117766736575429e+16
15.800,     6.157468223760987e+16
15.850,     6.224415363480602e+16
